Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,54.63,57.15,54.22,56.74,466692.0,,0.0,0.0,56.74,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,57.1,57.75,56.37,57.11,467791.0,0.7,0.0,0.0,56.93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,56.74,58.93,56.59,58.37,605652.0,2.2,0.0,0.0,57.46,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,58.4,60.41,57.78,59.23,396237.0,1.5,0.0,0.0,57.97,,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,59.23,59.82,56.86,57.19,404777.0,-3.4,58.332000000000015,0.0,57.78,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,56.93,59.1,56.92,58.71,778381.0,2.7,58.52599999999997,0.0,57.98,1.0,0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-09,58.81,64.71,58.37,62.81,1608796.0,7.0,60.93399999999998,0.0,58.89,2.0,0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-10,62.05,62.05,59.38,60.01,890411.0,-4.5,61.02600000000001,0.0,59.09,3.0,0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-13,59.9,60.0,58.09,58.65,551726.0,-2.3,60.317999999999934,0.0,59.02,0.0,0.07,0.0,0.0,61.02600000000001,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-14,59.15,59.43,58.22,58.68,183250.0,0.1,58.928000000000004,60.07818181818185,58.96,0.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-15,59.26,61.25,59.05,59.35,739444.0,1.1,58.25000000000003,59.883454545454555,59.02,1.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Blw_Reg10,
2014-01-16,59.41,60.68,58.45,59.02,927151.0,-0.6,58.88600000000004,59.50636363636361,59.02,2.0,0.04,58.25000000000003,0.0,0.0,0.0,59.02,56.02,0.0,,0.0,0.0,Price_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-01-17,58.81,59.53,58.4,58.7,791661.0,-0.5,58.967999999999904,59.16654545454544,58.98,0.0,0.03,58.88600000000004,58.25000000000003,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2014-01-20,58.07,60.74,58.07,59.53,399063.0,1.4,59.26600000000002,59.26745454545449,59.05,1.0,0.03,58.967999999999904,58.88600000000004,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Cross_Abv_20EMA,Reg5_Blw_Reg10,
2014-01-21,59.55,60.18,58.99,59.51,278539.0,-0.0,59.38800000000002,58.93709090909091,59.1,2.0,0.04,59.26600000000002,58.967999999999904,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Cross_Up,
2014-01-22,58.97,59.85,58.81,59.23,900659.0,-0.5,59.44400000000009,58.687454545454536,59.12,3.0,0.04,59.38800000000002,59.26600000000002,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-23,58.83,59.27,56.68,57.77,820394.0,-2.5,58.51600000000002,58.725090909090866,58.96,0.0,-0.01,0.0,0.0,59.44400000000009,61.02600000000001,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Cross_Down,
