Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,570.65,574.4,569.3,572.35,251204.0,,0.0,0.0,572.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,571.0,575.75,558.6,562.4,531660.0,-1.7,0.0,0.0,567.13,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,560.0,567.4,558.05,565.0,1018173.0,0.5,0.0,0.0,566.35,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,567.0,567.8,560.2,563.5,603727.0,-0.3,0.0,0.0,565.52,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,563.0,565.9,556.0,558.95,605461.0,-0.8,559.3000000000001,0.0,563.93,,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,558.0,562.15,557.0,559.15,564149.0,0.0,559.2899999999998,0.0,562.92,0.0,-0.09,0.0,0.0,559.3000000000001,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,560.0,560.0,553.8,554.15,854783.0,-0.9,554.9399999999997,0.0,561.27,0.0,-0.14,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,555.35,556.95,548.4,549.8,985783.0,-0.8,550.6699999999998,0.0,559.28,0.0,-0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,550.0,552.0,543.5,545.7,1488598.0,-0.7,546.3799999999994,0.0,557.1,0.0,-0.27,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,545.1,548.9,537.2,538.4,925057.0,-1.3,539.4499999999999,542.5863636363637,554.29,0.0,-0.36,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-15,538.5,546.2,538.1,545.2,2060042.0,1.3,540.7900000000003,541.6127272727274,552.99,0.0,-0.36,539.4499999999999,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-16,545.0,552.65,544.25,552.1,1221864.0,1.3,547.0600000000006,542.5136363636362,552.87,0.0,-0.29,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-01-17,553.0,563.0,552.5,558.9,1475015.0,1.2,556.0799999999997,546.8454545454547,553.66,1.0,-0.17,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
